Code;Systeme;Station;Saison;Temp;Sal;NID;PID;Chla;RTP (selon modele Emma);Phyto-Microbien (proba);Herbivore (proba);Multivore (proba);Poly-Microbien;BAC->DOC;BAC->MES;BAC->MIC;BAC->RES;BACingest;BACprod;DET->DOC;DET->LOS;DET->MES;DET->MIC;DETprod;DOC->BAC;DOC->MIC;DOCprod;GPP->PH1;GPP->PH2;GPP->PH3;MES->DET;MES->DOC;MES->LOS;MES->RES;MESingest;MESprod;MIC->DET;MIC->DOC;MIC->MES;MIC->RES;MICingest;MICprod;PH1->DOC;PH1->MES;PH1->MIC;PH1->RES;PH1ingest;PH1prod;PH2->DET;PH2->DOC;PH2->MES;PH2->MIC;PH2->RES;PH2ingest;PH2prod;PH3->DET;PH3->DOC;PH3->MES;PH3->MIC;PH3->RES;PH3ingest;PH3prod;rat1;rat2;rat3;rat4;rat5;rat6;rat7;rat8;ratio9;ratio10;ratio11;Res;Robust;RoDC;RU;SOI;T,,;TotGPP;totLOS;totNPP;Totprod;totRES;TST;P/B;EffTroph;PhtBiom;AMI;AoDC;APL;AsceNAency;CCI;Connectance;DC;Herbivory;Bacterivory;Detritivory;DH;HR;Overhead;PhtTOmic;ProdoRes
temp-39-7;Marais_desseches_Charente_Maritime;Realimente_interne;Spring;12;4,4;13,4817770186;0,023305;151,9757575758;Multivore;0,0002881081;0,0012247604;0,9965364262;0,0019507054;0,010438427;0,008056357;0,008201399;0,009834716;0,036217941;0,016257756;0,005612874;0,00032997;0,001527533;0,00151664;0,030938673;0,036217941;0,007111345;0,052014328;0,011158671;0,016290625;0,016297229;0,009480709;0,007231336;0,000291032;0,010790333;0,03078735;0,012068022;0,009292322;0,008982952;0,000780638;0,01403886;0,039881046;0,01618604;0,001760994;0,000704141;0,000708889;0,001048028;0,011158671;0,009021684;0,000674878;0,002315914;0,000489254;0,000453065;0,001305685;0,016290625;0,013774249;0,000684468;0,00234419;0,000499193;0,00051567;0,001298309;0,016297229;0,013470765;0,09064804;0,443150994;0,466200966;0,267695448;0,120003406;0,612301146;0,248759454;0,497779962;0,68436447;0,554014583;0,835876709;0,045516969;0,3677597;0,472329;0,5415861;0,16578528;0,206757054;0,050022036;0,002991918;0,043092472;0,050022036;0,045516969;0,21761657;0,000480606;0,332757672;7,59878788;1,521079;0,3585348;2,712436;0,314493779;0,15736789;0,4285714;0,877163925;0,021427359;0,016257756;0,016036458;0,748410385;2,808563;0,414309948;0,009430656;1,057631121
temp-39-8;Marais_desseches_Charente_Maritime;Realimente_interne;Spring;11;3,9;13,7331273532;0,0302175;53,4731707317;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
m_6-1;Marais_desseches_Charente_Maritime;Nonrealimente_interne;Winter;8,3;0,7;39,5896138244;0,0019;9,0045941807;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
m_6-2;Marais_desseches_Charente_Maritime;Nonrealimente_interne;Winter;7,9;0,7;44,8081214805;0,0041;8,4104134763;Poly-Microbien;0,0425342585;0,0755815217;0,2482898672;0,6335943526;0,000900548;0,001115495;0,000687373;0,001026388;0,003131464;0,001508211;0,000255856;4,91E-05;0,000263726;0,000209924;0,004055306;0,003131464;0,002471188;0,006482661;0,0017815;0,004498951;0,000672975;0,001157542;0,000869874;4,52E-05;0,001538572;0,00396285;0,001514673;0,001283326;0,001444317;0,000126329;0,0021901;0,005852564;0,002444234;0,000194738;0,000501454;0,000246693;0,000106601;0,0017815;0,001432431;0,000570336;0,000477712;0,000113878;0,000111993;0,000258957;0,004498951;0,003907685;1,93E-05;6,97E-05;1,67E-05;1,74E-05;4,06E-05;0,000672975;0,00053434;0,100426499;0,183566956;0,716006546;0,327804027;0,084160583;0,58803539;0,243840621;0,373023958;0,833425238;0,624113135;0,558925309;0,006006071;0,3678548;0,4171931;0,5614672;0,12260823;0,02846584;0,006678361;0,000448714;0,005824627;0,006678361;0,006006071;0,027971664;0,000965897;0,257840556;0,420520674;1,544067;0,3636331;2,387735;0,043953158;0,16094894;0,4285714;0,12087226;0,0027676;0,001392739;0,002565083;0,92682577;2,750057;0,050427076;0,001120924;1,067549166
m_6-3;Marais_desseches_Charente_Maritime;Nonrealimente_interne;Winter;10,6;0,7;50,2390559274;0,0011;11,5436447167;Herbivore;0,0174580994;0,8910214236;0,064459086;0,0270613909;0,002559703;0,002040059;0,001977943;0,003082068;0,009136377;0,004018002;0,000810355;0,000191244;0,001172977;0,000840443;0,01610256;0,009136377;0,010822959;0,02235863;0,002755531;0,018871048;0,002796684;0,003996091;0,00290138;0,000159244;0,005166598;0,014583178;0,005214593;0,005292265;0,005119106;0,000491324;0,008039641;0,022806615;0,00954463;0,000287951;0,000705576;0,000258669;0,00016624;0,002755531;0,002172262;0,002926958;0,001994811;0,000493347;0,000483548;0,001074986;0,018871048;0,016583242;8,32E-05;0,000291402;7,14E-05;7,61E-05;0,000167184;0,002796684;0,002253984;0,056592239;0,136790527;0,806617234;0,330917071;0,063286904;0,605796025;0,103394333;0,39179819;0,721093028;0,638253841;0,457749546;0,021261253;0,3678632;0,4183871;0,5668928;0,10591727;0,097304391;0,023836958;0,001610621;0,02085241;0,023836958;0,021261253;0,097506569;0,002440148;0,248201812;0,577182236;1,532351;0,3713451;2,28499;0,149104471;0,15276069;0,4285714;0,401525355;0,009117706;0,004018002;0,009267152;1,016390746;2,70307;0,167993047;0,002410198;1,070166363
m_6-4;Marais_desseches_Charente_Maritime;Nonrealimente_interne;Winter;8,8;0,8;42,2484111283;0,0000;16,1041347626;Herbivore;0,0927455517;0,6698349485;0,1089259432;0,1284935566;0,001184238;0,001016804;0,001068423;0,001820825;0,007407358;0,002247218;0,002703595;0,00078797;0,000976964;0,002705695;0,036891334;0,007407358;0,045629009;0,052338377;0,023346296;0,033634515;0,00436984;0,005463123;0,006376229;0,000426633;0,009706307;0,024329697;0,010352307;0,025116209;0,020682264;0,000890452;0,03071926;0,083183395;0,031160909;0,002477624;0,000762526;0,007841638;0,001408602;0,023346296;0,018382175;0,00546777;0,003524172;0,000649511;0,000942431;0,002005929;0,033634515;0,027794865;0,000124768;0,000452125;0,000115659;0,000119679;0,000268251;0,00436984;0,003453361;0,152704943;0,018324134;0,828970923;0,351720928;0,015925594;0,632353479;0,370381352;0,853548943;0,63176282;0,764353876;0,139665637;0,051011774;0,3674998;0,3941762;0,59075;0,03094848;0,252192694;0,057763804;0,005566464;0,049468703;0,057763804;0,051011774;0,257346723;0,00457371;0,208588018;0,805206738;1,49046;0,3847176;2,26441;0,375883044;0,15795791;0,4285714;0,977036257;0,025033486;0,002085227;0,016501376;0,659172118;2,522996;0,385124455;0,01305524;1,09129093
m_6-5;Marais_desseches_Charente_Maritime;Nonrealimente_interne;Spring;13,7;0,8;38,2062422635;0,0008;32,7230729964;Herbivore;0,0137370954;0,9559920251;0,0169970119;0,0132738676;0,005409384;0,004222126;0,004428381;0,007094728;0,026128698;0,008650508;0,00330827;0,000826127;0,001829089;0,003203703;0,050759579;0,027749564;0,043137164;0,067635575;0,00863474;0,063664071;0,005359014;0,009373488;0,008613858;0,000586892;0,016008815;0,037651875;0,015761959;0,02273201;0,020317038;0,001456825;0,031039916;0,086172738;0,033773518;0,000896307;0,002327613;0,002032963;0,000525832;0,00863474;0,006803911;0,014532609;0,006732991;0,001326854;0,001722683;0,003685916;0,063664071;0,055266201;0,000151005;0,000553364;0,000140351;0,000155234;0,000323196;0,005359014;0,004239155;0,071522876;0,080987027;0,847490097;0,34294066;0,044739009;0,61232033;0,10260875;0,507530921;0,722596338;0,702260932;0,391463463;0,064776842;0,3676197;0,4204375;0,5771172;0,07509316;0,324102121;0,076119654;0,007024094;0,066250827;0,076119654;0,064776842;0,333212071;0,00277171;0,237703713;1,63615365;1,530212;0,3817894;2,268922;0,495944893;0,13672882;0,4285714;1,299001057;0,028531029;0,008650508;0,024983448;0,875658848;2,651475;0,546148739;0,007228102;1,091910256
m_6-6;Marais_desseches_Charente_Maritime;Nonrealimente_interne;Spring;13;1,1;24,5746199797;0,0009;16,5288412455;Poly-Microbien;0,0131235522;0,0268839801;0,2384427219;0,7215497458;0,005181704;0,004051245;0,003987519;0,00563695;0,018007949;0,008038763;0,001937757;0,000225314;0,001063722;0,001002927;0,019218992;0,018007949;0,008532943;0,032121386;0,007612736;0,018812947;0,006699437;0,005815557;0,004615159;0,00019779;0,007136982;0,019403515;0,007745187;0,005512674;0,006263076;0,000533083;0,009588788;0,026545459;0,011154836;0,000801558;0,002086283;0,001847379;0,000455922;0,007612736;0,006067905;0,002438918;0,002011171;0,000497298;0,000478594;0,001077704;0,018812947;0,016456984;0,000191642;0,000695867;0,000180528;0,000178531;0,000399054;0,006699437;0,005511576;0,156259092;0,248786225;0,594954683;0,320726084;0,091960273;0,587313643;0,216429033;0,47536306;0,838322124;0,575743767;0,678498258;0,028718882;0,3677451;0,4153909;0,5543181;0,12344068;0,135756708;0,031701738;0,001923761;0,027440944;0,031701738;0,028718882;0,13214533;0,002338555;0,27625405;0,826442062;1,543305;0,3579833;2,436656;0,209513983;0,17318677;0,4285714;0,585261911;0,013488615;0,008038763;0,011730794;0,869681135;2,78415;0,243112492;0,00557424;1,063931569
m_6-7;Marais_desseches_Charente_Maritime;Nonrealimente_interne;Spring;13,8;1;15,5367708809;0,0022;30,5972434916;Herbivore;0,0408386195;0,8791474449;0,0441300444;0,0358838912;0,004057507;0,003319117;0,00321178;0,005032446;0,019160891;0,006530897;0,001517215;0,000394515;0,002089988;0,001468568;0,028580573;0,015526893;0,021955068;0,039994796;0,007621249;0,032965794;0,00568864;0,007415418;0,005317038;0,000303547;0,009891362;0,027151251;0,01019599;0,009333403;0,010132572;0,001030139;0,015550908;0,044327549;0,018574191;0,000806955;0,001725652;0,000311728;0,000459187;0,007621249;0,005988093;0,004554568;0,00351829;0,000891673;0,000835473;0,001865294;0,032965794;0,029077103;0,000165014;0,000589794;0,000153317;0,000150662;0,000340942;0,00568864;0,004505095;0,046462966;0,114980415;0,838556619;0,345059985;0,056950585;0,59798943;0,151328;0,319002435;0,728966494;0,655846458;0,414249751;0,039799621;0,3678581;0,408352;0,5718815;0,10023621;0,180191716;0,044882735;0,003293486;0,039110413;0,044882735;0,039799621;0,179821284;0,001742263;0,257667804;1,529862175;1,539809;0,3718514;2,254997;0,277460782;0,1539586;0,4285714;0,746160306;0,018173291;0,006530897;0,018966194;1,043630127;2,692531;0,304696084;0,005882433;1,071341784
m_6-8;Marais_desseches_Charente_Maritime;Nonrealimente_interne;Spring;11,9;1,2;10,1333486931;0,0033;18,3996937213;Multivore;0,0090720264;0,0177741628;0,5801479994;0,3930058115;0,009443082;0,007210777;0,007844437;0,007073833;0,031820454;0,014188451;0,009375387;9,87E-05;0,000416166;0,000458929;0,015536858;0,031820454;0,000432489;0,035229948;0,011252044;0,012103146;0,001287251;0,006056667;0,004137011;0,000100957;0,00572395;0,017099793;0,007451223;0,005405335;0,004654728;0,000314962;0,006226168;0,019182284;0,007946162;0,004169458;0,000843459;0,003578244;0,000635861;0,011252044;0,009952323;0,002841928;0,001366934;0,000263311;0,000281613;0,000675157;0,012103146;0,010851951;3,52E-05;0,0001397;3,48E-05;3,27E-05;7,70E-05;0,001287251;0,001016306;0,308237654;0,621174017;0,070588329;0,251459171;0,163506933;0,585033896;0,456098005;0,773229641;0,783762638;0,529443379;0,986590712;0,022396465;0,3657573;0,4091135;0,5883368;0,08355515;0,146411893;0,023942736;0,000858295;0,021075992;0,023942736;0,022396465;0,136708141;0,001508708;0,341476854;0,919984686;1,655095;0,4080953;3,845483;0,242325547;0,28974164;0,4285714;0,593796536;0,010055734;0,014188451;0,003868533;0,384709162;2,813176;0,242930201;0,004904353;1,037204364
